,falciparumTG0,gaboniG0,falciparumGB,coatneyiHacker,gaboniSY7,malariaeUG0,billcollinsiG0,falciparumKH0,yoeliiyoeliiY,falciparumI,vivaxP0,falciparumSN0,chabaudichabaud,cynomolgi,falciparumML0,falciparum7G,falciparumHB,falciparumCD0,vivaxSal,yoeliiyoelii17XN,vivax-likePvl0,falciparum3D,gallinaceum8,ovalecurtisiGH0,vinckeipetteriC,reichenowiG0,relictumSGS1-lik,falciparumGN0,vinckeivinckeivincke,knowlesi,fragileNilgir,reichenowiCD,falciparumDd,blacklockiG0,knowlesiMalayanPk1,falciparumKE0,adleriG0,falciparumSD0,yoeliiyoelii17,bergheiANK,inuiSanAntonio,falciparumGA0,praefalciparumG0,EcuniculiEC,TevansiSTIB80,TgondiiAR,TcruziCLBrenerNon-Esmeraldo-lik,TgondiiRU,PfragileNilgir,LdonovaniBPK282A,TgondiiGAB2-2007-GAL-DOM,CmurisRN6,CmeleagridisUKMEL,TbruceigambienseDAL97,Vculicisfloridensi,PfalciparumGA0,NdisplodereJUm280,TrangeliSC5,LturanicaLEM42,LenriettiiLEM304,PknowlesiMalayanPk1,Tgondiip8,TgondiiFO,NausubeliERTm,LgerbilliLEM45,PreichenowiCD,TcongolenseIL300,LaethiopicaL14,ChominisUdeA0,CsuisWien,PbergheiANK,TcruziDm28c201,PmalariaeUG0,PfalciparumSD0,LmajorLV39c,SsalmonicidaATCC5037,PfalciparumTG0,EmonterogeiiLV8,ChominisTU50,TcruziTC,LmajorFriedli,TcruziCLBrene,NcaninumLI,GintestinalisAssemblageAD,EtenellaHoughto,NceranaePA08_119,Pcynomolgi,EbieneusiH34,PcoatneyiHacker,AalgeraePRA33,PinuiSanAntonio,TbruceiTREU92,Pyoeliiyoelii17XN,HeriocheirGB,PrelictumSGS1-lik,VbrassicaformisCCMP315,Pvinckeivinckeivincke,EhistolyticaHM1IMSS-,NceranaeBRL0,TcruzimarinkelleiB,CfasciculataCfC,LpyrrhocorisH1,GintestinalisAssemblageBG,EaedisUSNM4145,EinvadensIP,CveliaCCMP287,EhepatopenaeiTH,CtyzzeriUGA5,CcayetanensisCHN_HEN0,Heriocheircancer,EmoshkovskiiLared,HhammondiHH3,OcolligataOC,TcruziSylvioX10-1-201,TbruceiLister427_201,PvivaxP0,AspWSBS200,PvinckeipetteriC,EhistolyticaHM3IMS,PfalciparumKH0,PconfusumCUL1,PblacklockiG0,EhellemSwis,TparvaMugug,GintestinalisAssemblageEP1,TtheileriEdinburg,ThominisUnknow,LpanamensisMHOMCOL81L1,TgondiiVE,ChominisTU502_201,BbovisT2B,EpraecoxHoughto,EacervulinaHoughto,PgaboniG0,Pknowlesi,TequiW,NparisiiERTm,CfelisWinni,BovataMiyak,LdonovaniCL-S,PneurophiliaMK,Pchabaudichabaud,GniphandrodesUnknow,AcastellaniiNef,NbombycisCQ,Slophii42_11,PfalciparumML0,BbigeminaBON,Pyoeliiyoelii17,TbruceiLister42,LpanamensisMHOMPA94PSC,Pfalciparum7G,LinfantumJPCM,EintestinalisATCC5050,EhistolyticaHM1IMS,PgaboniSY7,EhellemATCC5050,PfalciparumKE0,SneuronaSN,PbillcollinsiG0,GintestinalisAssemblageBGS_,TvivaxY48,PreichenowiG0,Chominis3097,TannulataAnkar,EdisparSAW76,TgondiiVAN,EnecatrixHoughto,AalgeraePRA10,EcanceriGB,BmicrotiR,BsaltansLakeKonstan,PfalciparumSN0,LbraziliensisMHOMBR75M290,TgondiiR,PfalciparumDd,LmajorSD7,SneuronaSOSN,Bdivergens1802,TgondiiME4,LspMARLEM249,Candersoni3084,GintestinalisAssemblageAW,PyoeliiyoeliiY,VcorneaeATCC5050,Pgallinaceum8,MdaphniaeUGP,CparvumIowaI,NfowleriATCC3086,TgrayiANR,PfalciparumHB,EcuniculiGBM,TgondiiTgCatPRC,TvaginalisG,LamazonensisMHOMBR71973M226,EmitisHoughto,TgondiiMA,LtropicaL59,EfalciformisBayerHaberkorn197,Pfalciparum3D,PpraefalciparumG0,LseymouriATCC3022,PadleriG0,TcruziCLBrenerEsmeraldo-lik,LarabicaLEM110,Cubiquitum3972,EromaleaeSJ200,PfalciparumCD0,TorientalisShintok,Pvivax-likePvl0,EbrunettiHoughto,PfalciparumGN0,TcruziSylvioX10-,EcuniculiEcunIII-,LmexicanaMHOMGT2001U110,EmaximaWeybridg,BayalaiB08-37,TgondiiGT,LtarentolaeParrotTarI,PfalciparumGB,PovalecurtisiGH0,PvivaxSal,PfalciparumI,EnuttalliP1,EhistolyticaKU2,pvfal2018,pviv2018,pber2018,pkno2018,pcyn2018,ipfa2017,iPfal19
EX_ps141_e,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,
PAPA_PALM_EPA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS21enhs,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX_2pg_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
AF1PTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLt3r_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,1,,,,1,1,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,1,,,,,1,1,,,,,,1,,1,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,1,,,,,,,,1,,,,,,,,,,1,,,1,1,,,1,,1,,,,,1,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,
ACYP_2,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,,1,1,1,,,1,,,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,,1,1,,1,1,,1,1,,,1,,1,,1,,,,1,1,1,,,,1,1,1,,,1,,1,,,,1,,,,1,,1,,1,1,1,,1,,1,,1,1,1,1,,,1,1,1,,1,1,1,,1,,1,,,1,1,1,,1,1,1,,,1,,1,,1,1,1,1,1,1,,1,,,,,,1,1,,1,1,,1,1,1,1,1,,,1,,1,,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,,1,,1,1,1,1,1,1,1,,,,,,,,,
TRNFE,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
PNTOte,1,,1,,,,,1,,1,,1,,,1,1,1,1,,,,1,,,,,,1,,,,,1,,,1,,1,,,,1,,,,1,,1,,,1,,,,,1,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,1,,1,,,,1,,,1,,,,,,,,1,,,,1,,,,,,1,,1,,,1,,,,,,,,,
LCADi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,,,1,,,,,1,1,,1,1,,1,,1,1,,,,1,,,1,1,,1,1,1,1,,1,,1,,,,,,,1,,,,1,,1,,1,1,1,,,1,1,,,1,,1,1,,1,1,,,,1,,1,,,,,1,,1,1,,,1,1,,,,,,,1,,,,1,,,,,,1,1,,1,,1,,,,1,,,1,,,,1,1,1,,,,1,,1,1,,1,1,,1,1,,,,,,,1,1,1,,,1,1,1,1,1,1,1,,,1,,1,1,,,,,,1,,1,,1,1,1,1,1,,,,,1,1,,,,,,,
EX_amp_LPAREN_e_RPAREN_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,
R04989_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
PTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,,,,,,,,,1,1,,,,,,1,1,,,,,,,,,1,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,1,,1,,,,,,1,,,,,1,,,,1,,,,1,,,,1,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,
MCITL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,1,,,,1,1,,,,,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,1,,,1,,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,1,,1,,,,,,,1,,,1,,,1,,,,1,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
FACOAL40im,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13MT_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPIth,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRNtim,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPGS9m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGPATCOA_HDE_PALM_c,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX_meoh_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLDPC_DHA_LNA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMR_1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R01397_R01993_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
ACACT6r_1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,1,,1,,1,,,1,,,,,,,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,1,,1,1,,,,1,,,1,,,1,,1,1,,,,,1,,1,,,1,,,1,,,,,,,,,,,1,,,1,,,1,,,1,1,,,,,,,,,1,,1,1,,,,,,,,,1,1,,1,,1,,,,1,,,,1,1,1,,,,,,,,,1,1,1,,,,,,,1,,,,,1,1,,,1,1,,1,,1,,,,,1,1,,,,1,,1,1,,,,1,,,,,,,1,,,,,,,
AGMHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,1,,,,,,,,,,,1,,,1,,,,1,,,1,1,,,,1,,,,1,,,,,,,,1,,,,1,,,1,,,1,,1,,,,,,1,,,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,1,,,,,,,,,,1,1,,,,,1,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTRSm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,,1,1,1,,,1,,,,,1,1,1,,,1,,,1,1,1,,1,1,,,1,,1,,,,1,,1,,1,,1,,1,,1,,1,1,1,,,,,,,,,1,,1,1,,,1,,,,1,,1,,1,,1,,,,,,,1,1,,,1,1,1,,,,,,,1,1,,,,1,,1,,,1,,,,1,,1,1,1,,,1,1,,,1,1,,,,,1,,,1,,1,,1,,1,,1,,1,,1,,,1,,1,,,,1,,1,1,1,,1,,,1,,1,,1,1,1,,,,1,,1,,1,1,1,1,,,,,,,,,
NADK1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPCAT_OLE_PALM_sn2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDPDPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,
SK_trnacys_c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,,,,,1,,,,,1,,,,,1,,1,1,,,1,,,,,,,,,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,1,,1,,,1,,,,1,,1,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,,,1,,,,,,,,,1,1,,1,,,,,1,,1,,1,,,,,,,,1,1,1,1,,,,,,,,,1
GLUILELYSt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
OBFOOLOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,1,,,,,1,1,,,,,1,,1,1,,,,1,,,1,,,1,,1,1,,,,,,,,,,,1,,,,1,,,,1,1,1,,,,1,,,,,,,,1,1,,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,1,1,,1,,,,,,,,,1,,,,,,,,,,1,,1,,,1,,,,1,,,,,,,,1,1,,,,,1,,,1,,,,1,,1,1,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,
EX_salchs2fe_e,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,1,1,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,1,1,,1,,,,,,,,,,1,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LCYSTAT,,,,1,,,,,1,,1,,1,1,,,,,1,1,1,,1,1,1,1,1,,1,1,1,1,,,1,,1,,1,1,1,,,,1,1,1,1,1,1,1,,,1,,,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,,,1,1,,1,,1,1,,1,1,1,,1,,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,,,1,,1,1,,1,1,1,1,1,1,,1,,,1,1,1,,1,1,,1,,1,,1,1,,1,,1,,1,1,1,,,,,1,1,1,,1,,1,,,,1,,1,1,1,,1,1,1,1,,,,1,,1,,,1,1,1,1,1,,1,1,,1,1,,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,,
EX_thymd_LPAREN_e_RPAREN_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,
R04448_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
PAPA_EPA_OLE_c,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX_ileserarg_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R01135_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
T_c_to_e_C00499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
